Time,Demand,Day,Month,Year,Winter,Spring,Summer,Fall,sma,ema
2014-05-20 12:00:00,6,20,5,2014,0,1,0,0,2.6,2.418567673119547
2014-05-20 15:00:00,2,20,5,2014,0,1,0,0,1.6,2.134172090775798
2014-05-20 18:00:00,3,20,5,2014,0,1,0,0,2.0,2.945711782079698
2014-05-20 21:00:00,2,20,5,2014,0,1,0,0,2.8,3.7561147271838653
2014-05-21 00:00:00,0,21,5,2014,0,1,0,0,4.0,4.630474521386465
2014-05-21 03:00:00,1,21,5,2014,0,1,0,0,4.2,2.837409818122577
2014-05-21 06:00:00,4,21,5,2014,0,1,0,0,4.4,3.75364968092431
2014-05-21 09:00:00,7,21,5,2014,0,1,0,0,4.2,2.8916065454150512
2014-05-21 12:00:00,8,21,5,2014,0,1,0,0,2.8,2.5024331206162067
2014-05-21 15:00:00,1,21,5,2014,0,1,0,0,1.2,1.9277376969433675
2014-05-21 18:00:00,2,21,5,2014,0,1,0,0,1.6,2.668288747077471
2014-05-21 21:00:00,3,21,5,2014,0,1,0,0,2.4,3.2851584646289114
2014-05-22 00:00:00,0,22,5,2014,0,1,0,0,3.0,3.778859164718314
2014-05-22 03:00:00,0,22,5,2014,0,1,0,0,3.8,3.5234389764192744
2014-05-22 06:00:00,3,22,5,2014,0,1,0,0,4.0,2.852572776478876
2014-05-22 09:00:00,6,22,5,2014,0,1,0,0,4.0,3.3489593176128496
2014-05-22 12:00:00,6,22,5,2014,0,1,0,0,2.8,1.9017151843192508
2014-05-22 15:00:00,4,22,5,2014,0,1,0,0,1.6,2.232639545075233
2014-05-22 18:00:00,1,22,5,2014,0,1,0,0,1.8,2.934476789546167
2014-05-22 21:00:00,3,22,5,2014,0,1,0,0,2.4,2.821759696716822
2014-05-23 00:00:00,0,23,5,2014,0,1,0,0,3.4,4.622984526364111
2014-05-23 03:00:00,0,23,5,2014,0,1,0,0,4.0,2.881173131144548
2014-05-23 06:00:00,5,23,5,2014,0,1,0,0,4.6,4.081989684242741
2014-05-23 09:00:00,4,23,5,2014,0,1,0,0,4.0,2.5874487540963655
2014-05-23 12:00:00,8,23,5,2014,0,1,0,0,3.2,2.7213264561618273
2014-05-23 15:00:00,3,23,5,2014,0,1,0,0,1.6,1.7249658360642437
2014-05-23 18:00:00,3,23,5,2014,0,1,0,0,1.4,2.4808843041078847
2014-05-23 21:00:00,2,23,5,2014,0,1,0,0,1.6,2.4833105573761625
2014-05-24 00:00:00,0,24,5,2014,0,1,0,0,1.6,2.3205895360719233
2014-05-24 03:00:00,0,24,5,2014,0,1,0,0,2.0,2.322207038250775
2014-05-24 06:00:00,2,24,5,2014,0,1,0,0,2.4,2.213726357381282
2014-05-24 09:00:00,4,24,5,2014,0,1,0,0,2.2,1.88147135883385
2014-05-24 12:00:00,2,24,5,2014,0,1,0,0,1.4,1.4758175715875215
2014-05-24 15:00:00,2,24,5,2014,0,1,0,0,1.0,1.2543142392225668
2014-05-24 18:00:00,2,24,5,2014,0,1,0,0,1.6,2.6505450477250143
2014-05-24 21:00:00,1,24,5,2014,0,1,0,0,3.4,4.502876159481711
2014-05-25 00:00:00,0,25,5,2014,0,1,0,0,4.4,3.767030031816676
2014-05-25 03:00:00,0,25,5,2014,0,1,0,0,6.2,6.001917439654473
2014-05-25 06:00:00,5,25,5,2014,0,1,0,0,7.6,4.844686687877784
2014-05-25 09:00:00,11,25,5,2014,0,1,0,0,7.2,5.001278293102983
2014-05-25 12:00:00,6,25,5,2014,0,1,0,0,5.0,3.2297911252518565
2014-05-25 15:00:00,9,25,5,2014,0,1,0,0,3.8,3.334185528735322
2014-05-25 18:00:00,7,25,5,2014,0,1,0,0,2.4,2.8198607501679045
2014-05-25 21:00:00,3,25,5,2014,0,1,0,0,1.6,3.2227903524902146
2014-05-26 00:00:00,0,26,5,2014,0,1,0,0,1.8,3.213240500111936
2014-05-26 03:00:00,0,26,5,2014,0,1,0,0,2.0,2.4818602349934764
2014-05-26 06:00:00,2,26,5,2014,0,1,0,0,3.2,4.142160333407958
2014-05-26 09:00:00,3,26,5,2014,0,1,0,0,3.0,1.9879068233289843
2014-05-26 12:00:00,4,26,5,2014,0,1,0,0,2.4,2.761440222271972
2014-05-26 15:00:00,1,26,5,2014,0,1,0,0,1.6,1.3252712155526563
2014-05-26 18:00:00,6,26,5,2014,0,1,0,0,2.0,2.8409601481813147
2014-05-26 21:00:00,1,26,5,2014,0,1,0,0,2.0,2.8835141437017704
2014-05-27 00:00:00,0,27,5,2014,0,1,0,0,3.8,5.227306765454209
2014-05-27 03:00:00,0,27,5,2014,0,1,0,0,4.0,2.2556760958011806
2014-05-27 06:00:00,3,27,5,2014,0,1,0,0,4.4,4.15153784363614
2014-05-27 09:00:00,6,27,5,2014,0,1,0,0,3.8,1.5037840638674538
2014-05-27 12:00:00,10,27,5,2014,0,1,0,0,2.6,2.7676918957574266
2014-05-27 15:00:00,1,27,5,2014,0,1,0,0,0.6,1.0025227092449693
2014-05-27 18:00:00,2,27,5,2014,0,1,0,0,1.0,2.845127930504951
2014-05-27 21:00:00,0,27,5,2014,0,1,0,0,1.6,2.335015139496646
2014-05-28 00:00:00,0,28,5,2014,0,1,0,0,1.6,1.8967519536699675
2014-05-28 03:00:00,0,28,5,2014,0,1,0,0,2.4,2.890010092997764
2014-05-28 06:00:00,3,28,5,2014,0,1,0,0,2.6,1.5978346357799784
2014-05-28 09:00:00,5,28,5,2014,0,1,0,0,2.2,2.260006728665176
2014-05-28 12:00:00,0,28,5,2014,0,1,0,0,1.2,1.0652230905199858
2014-05-28 15:00:00,4,28,5,2014,0,1,0,0,1.2,1.5066711524434506
2014-05-28 18:00:00,1,28,5,2014,0,1,0,0,1.0,1.7101487270133238
2014-05-28 21:00:00,1,28,5,2014,0,1,0,0,2.2,3.3377807682956337
2014-05-29 00:00:00,0,29,5,2014,0,1,0,0,2.4,1.8067658180088826
2014-05-29 03:00:00,0,29,5,2014,0,1,0,0,3.2,3.5585205121970893
2014-05-29 06:00:00,3,29,5,2014,0,1,0,0,4.0,2.5378438786725885
2014-05-29 09:00:00,7,29,5,2014,0,1,0,0,3.6,2.7056803414647264
2014-05-29 12:00:00,2,29,5,2014,0,1,0,0,2.2,1.691895919115059
2014-05-29 15:00:00,4,29,5,2014,0,1,0,0,1.8,1.8037868943098176
2014-05-29 18:00:00,4,29,5,2014,0,1,0,0,1.6,2.1279306127433726
2014-05-29 21:00:00,1,29,5,2014,0,1,0,0,2.0,3.202524596206545
2014-05-30 00:00:00,0,30,5,2014,0,1,0,0,2.6,2.751953741828915
2014-05-30 03:00:00,0,30,5,2014,0,1,0,0,3.6,3.8016830641376966
2014-05-30 06:00:00,3,30,5,2014,0,1,0,0,4.8,3.8346358278859434
2014-05-30 09:00:00,6,30,5,2014,0,1,0,0,4.8,3.5344553760917976
2014-05-30 12:00:00,4,30,5,2014,0,1,0,0,3.6,2.5564238852572956
2014-05-30 15:00:00,5,30,5,2014,0,1,0,0,2.8,2.3563035840611986
2014-05-30 18:00:00,6,30,5,2014,0,1,0,0,2.0,2.037615923504864
2014-05-30 21:00:00,3,30,5,2014,0,1,0,0,1.8,3.2375357227074657
2014-05-31 00:00:00,0,31,5,2014,0,1,0,0,2.2,3.025077282336576
2014-05-31 03:00:00,0,31,5,2014,0,1,0,0,2.8,3.158357148471644
2014-05-31 06:00:00,1,31,5,2014,0,1,0,0,3.8,3.6833848548910506
2014-05-31 09:00:00,5,31,5,2014,0,1,0,0,3.6,2.1055714323144294
2014-05-31 12:00:00,5,31,5,2014,0,1,0,0,2.6,2.4555899032607007
2014-05-31 15:00:00,3,31,5,2014,0,1,0,0,1.6,1.4037142882096196
2014-05-31 18:00:00,5,31,5,2014,0,1,0,0,1.6,2.637059935507134
2014-05-31 21:00:00,0,31,5,2014,0,1,0,0,2.0,3.269142858806413
2014-06-01 00:00:00,0,1,6,2014,0,0,1,0,3.4,4.091373290338089
2014-06-01 03:00:00,0,1,6,2014,0,0,1,0,3.8,2.8460952392042755
2014-06-01 06:00:00,3,1,6,2014,0,0,1,0,4.2,3.3942488602253924
2014-06-01 09:00:00,7,1,6,2014,0,0,1,0,3.6,1.8973968261361838
2014-06-01 12:00:00,7,1,6,2014,0,0,1,0,2.2,2.2628325734835952
2014-06-01 15:00:00,2,1,6,2014,0,0,1,0,0.8,1.2649312174241225
2014-06-01 18:00:00,2,1,6,2014,0,0,1,0,0.8,2.1752217156557303
2014-06-01 21:00:00,0,1,6,2014,0,0,1,0,1.2,2.1766208116160817
2014-06-02 00:00:00,0,2,6,2014,0,0,1,0,1.8,2.4501478104371537
2014-06-02 03:00:00,0,2,6,2014,0,0,1,0,2.8,3.1177472077440544
2014-06-02 06:00:00,2,2,6,2014,0,0,1,0,3.0,1.9667652069581025
2014-06-02 09:00:00,4,2,6,2014,0,0,1,0,2.8,2.4118314718293696
2014-06-02 12:00:00,3,2,6,2014,0,0,1,0,2.0,1.311176804638735
2014-06-02 15:00:00,5,2,6,2014,0,0,1,0,1.4,1.6078876478862465
2014-06-02 18:00:00,1,2,6,2014,0,0,1,0,0.6,1.20745120309249
2014-06-02 21:00:00,1,2,6,2014,0,0,1,0,1.0,2.071925098590831
2014-06-03 00:00:00,0,3,6,2014,0,0,1,0,2.2,3.13830080206166
2014-06-03 03:00:00,0,3,6,2014,0,0,1,0,3.0,2.7146167323938872
2014-06-03 06:00:00,1,3,6,2014,0,0,1,0,3.4,2.7588672013744397
2014-06-03 09:00:00,3,3,6,2014,0,0,1,0,3.4,2.143077821595925
2014-06-03 12:00:00,7,3,6,2014,0,0,1,0,2.8,1.8392448009162932
2014-06-03 15:00:00,4,3,6,2014,0,0,1,0,1.4,1.4287185477306168
2014-06-03 18:00:00,2,3,6,2014,0,0,1,0,1.0,1.8928298672775288
2014-06-03 21:00:00,1,3,6,2014,0,0,1,0,1.0,1.6191456984870778
2014-06-04 00:00:00,0,4,6,2014,0,0,1,0,1.8,2.9285532448516856
2014-06-04 03:00:00,0,4,6,2014,0,0,1,0,2.2,1.7460971323247185
2014-06-04 06:00:00,2,4,6,2014,0,0,1,0,2.4,2.285702163234457
2014-06-04 09:00:00,2,4,6,2014,0,0,1,0,2.4,1.8307314215498123
2014-06-04 12:00:00,5,4,6,2014,0,0,1,0,2.0,1.5238014421563049
2014-06-04 15:00:00,2,4,6,2014,0,0,1,0,1.0,1.2204876143665415
2014-06-04 18:00:00,1,4,6,2014,0,0,1,0,1.0,1.68253429477087
2014-06-04 21:00:00,2,4,6,2014,0,0,1,0,1.2,1.480325076244361
2014-06-05 00:00:00,0,5,6,2014,0,0,1,0,0.8,1.1216895298472467
2014-06-05 03:00:00,0,5,6,2014,0,0,1,0,0.8,0.9868833841629073
2014-06-05 06:00:00,2,5,6,2014,0,0,1,0,1.0,1.0811263532314979
2014-06-05 09:00:00,2,5,6,2014,0,0,1,0,0.6,0.6579222561086049
2014-06-05 12:00:00,0,5,6,2014,0,0,1,0,0.6,1.3874175688209984
2014-06-05 15:00:00,0,5,6,2014,0,0,1,0,0.6,0.4386148374057366
2014-06-05 18:00:00,1,5,6,2014,0,0,1,0,0.6,0.9249450458806656
2014-06-05 21:00:00,0,5,6,2014,0,0,1,0,0.8,0.959076558270491
2014-06-06 00:00:00,2,6,6,2014,0,0,1,0,1.0,0.9499633639204438
2014-06-06 03:00:00,0,6,6,2014,0,0,1,0,1.4,1.9727177055136607
2014-06-06 06:00:00,0,6,6,2014,0,0,1,0,2.6,2.633308909280296
2014-06-06 09:00:00,2,6,6,2014,0,0,1,0,2.8,1.6484784703424404
2014-06-06 12:00:00,1,6,6,2014,0,0,1,0,2.4,1.7555392728535306
2014-06-06 15:00:00,4,6,6,2014,0,0,1,0,2.2,1.0989856468949604
2014-06-06 18:00:00,6,6,6,2014,0,0,1,0,1.6,1.5036928485690204
2014-06-06 21:00:00,1,6,6,2014,0,0,1,0,0.6,1.0659904312633068
